order_id,customer_name,customer_email,phone_number,order_date,raw_address,product_category,product_price,quantity,order_status,payment_method
ORD-1001,Deniz Yildiz,ayse_demir@hotmail.com,+90 532 123 45 67,N/A,Nilüfer / Bursa / 16140,home_decor,-100.00,-5,2,crypto
ORD-1002,Ayşe Demir,deniz.yildiz@gmail.com,invalid_phone,2024-01-15,Kadıköy / İstanbul / 34710,ELECTRONICS,-100.00,ten,99,EFT/Havale
ORD-1003,  ahmet YILMAZ ,fatma@domain,0(555) 444 33 22,N/A,N/A,Giyim,-100.00,10,shipped,CREDIT_CARD
ORD-1004,Selin Ozturk ,emre.koc@gmail.com,532-111-2233,N/A,  Sarıyer / İstanbul  ,fashion,N/A,-5,CANCELLED,cash_on_delivery
ORD-1005,Ayşe Demir,ayse_demir@hotmail.com,invalid_phone,15/01/2024,Odunpazarı - Eskişehir,fashion,0.00,0,1,N/A
ORD-1006,fatma ARSLAN,ayse_demir@hotmail.com,invalid_phone,15/01/2024,N/A,Ev & Yaşam,9999999.99,,pending,EFT/Havale
#1007,N/A,N/A,0533 987 65 43,2024-01-15,"Muratpaşa, Antalya",Ev & Yaşam, 2500 TL ,ten,2,Kapıda Ödeme
ORD-1008,elIF Sahin ,burak.celik@gmail.com,5321234567,"Jan 15, 2024",Odunpazarı - Eskişehir,fashion,-100.00,100000,shipped,credit card
ORD-1009,UNKNOWN,,532-111-2233,2024/03/10,"Muratpaşa, Antalya",Elektronik, 899.99 TL ,3,shipped,crypto
ORD-1010,N/A,,5321234567,2024-04-05,Kadıköy / İstanbul / 34710,home_decor,"$1,250.50",5,COMPLETED,havale
1011,Ayşe Demir,invalid_email_format,N/A,N/A,Odunpazarı - Eskişehir,home_decor,9999999.99,10,COMPLETED,N/A
ORD-1012,mehmet KAYA,elif.sahin@gmail.com,532-111-2233,2024.01.15,N/A,Book,N/A,,COMPLETED,EFT/Havale
,Zeynep  AKSOY,caner@company.co.tr,0(555) 444 33 22,"Jan 15, 2024",N/A,FASHION, 2500 TL ,1,2,cc
#1014,Deniz Yildiz,mehmet@yahoo,invalid_phone,9999-99-99,"Çankaya, Ankara / 06540",Giyim,$45.90,,returned,crypto
ORD-1015,elIF Sahin ,fatma@domain,+90 532 123 45 67,2024-13-45,"Çankaya, Ankara / 06540",sports,"15,000.00",0,pending,credit card
ORD-1016,elIF Sahin ,zeynep.aksoy@outlook.com,532-111-2233,"Feb 28, 2024",Kadıköy / İstanbul / 34710,Spor & Outdoor,75.5,0,99,cc
ORD-1017,fatma ARSLAN,ayse_demir@hotmail.com,+905423332211,2024-04-05,N/A,Kitap,-100.00,-5,pending,cc
ORD-1018,fatma ARSLAN,emre.koc@gmail.com,,2024-01-15,"Yıldırım, Bursa - 16300",fashion, 899.99 TL ,1,2,cash_on_delivery
ORD-1019,,emre.koc@gmail.com,+905423332211,2024.01.15,Kadıköy / İstanbul / 34710,home_decor,0.00,2.0,2,N/A
ORD-1020,  Mustafa Aydin  ,ayse_demir@hotmail.com,,,Konak - İzmir - 35000,Elektronik,9999999.99,10,99,cc
#1021,elIF Sahin ,fatma@domain,N/A,28/02/2024,"Muratpaşa, Antalya",Book,75.5,ten,shipped,Kapıda Ödeme
1022,Deniz Yildiz,,5321234567,"Feb 28, 2024",N/A,FASHION, 2500 TL ,ten,CANCELLED,credit card
ORD-1023,CANER ERKIN,ahmet.yilmaz@gmail.com,N/A,2024/03/10,"Muratpaşa, Antalya",Kitap,-100.00,1,2,CREDIT_CARD
ORD-1024,N/A,ayse_demir@hotmail.com,+90 532 123 45 67,2024-04-05,Odunpazarı - Eskişehir,ELECTRONICS,"15,000.00",ten,shipped,N/A
ORD-1025,N/A,fatma@domain,532-111-2233,N/A,"Yıldırım, Bursa - 16300",Kitap, 899.99 TL ,ten,returned,Kapıda Ödeme
,N/A,ayse_demir@hotmail.com,0533 987 65 43,2024-13-45,  Sarıyer / İstanbul  ,fashion,$45.90,3,returned,CREDIT_CARD
ORD-1027,Deniz Yildiz,,0533 987 65 43,2024-01-15,  Sarıyer / İstanbul  ,Spor & Outdoor,FREE,2.0,CANCELLED,BANK_TRANSFER
#1028,N/A,fatma@domain,0500 000 00 00,"Jan 15, 2024",  Sarıyer / İstanbul  ,Elektronik,N/A,10,CANCELLED,credit card
ORD-1029,BURAK CELIK,emre.koc@gmail.com,,15/01/2024,Kadıköy / İstanbul / 34710,sports,"15,000.00",1,2,BANK_TRANSFER
ORD-1030,mehmet KAYA,zeynep.aksoy@outlook.com,0500 000 00 00,"Feb 28, 2024","Muratpaşa, Antalya",Giyim,"$1,250.50",-5,COMPLETED,CREDIT_CARD
ORD-1031,Zeynep  AKSOY,elif.sahin@gmail.com,0500 000 00 00,15-01-2024,  Sarıyer / İstanbul  ,Spor & Outdoor,75.5,NULL,returned,cc
ORD-1032,N/A,elif.sahin@gmail.com,0(555) 444 33 22,2024-01-15,"Yıldırım, Bursa - 16300",Spor & Outdoor,"15,000.00",1,pending,CREDIT_CARD
1033,  ahmet YILMAZ ,deniz.yildiz@gmail.com,0500 000 00 00,2024/03/10,N/A,Elektronik,"$1,250.50",NULL,2,cc
ORD-1034,Ayşe Demir,deniz.yildiz@gmail.com,0533 987 65 43,2024-13-45,"Muratpaşa, Antalya",Giyim, 2500 TL ,,CANCELLED,EFT/Havale
#1035,UNKNOWN,ahmet.yilmaz@gmail.com,N/A,15/01/2024,  Sarıyer / İstanbul  ,sports,0.00,,99,cash_on_delivery
ORD-1036,,elif.sahin@gmail.com,0(555) 444 33 22,2024-13-45,Odunpazarı - Eskişehir,home_decor,N/A,3,3,havale
ORD-1037,BURAK CELIK,caner@company.co.tr,0533 987 65 43,2024-01-15,  ,Kitap,0.00,2.0,2,crypto
ORD-1038,N/A,fatma@domain,+905423332211,"Jan 15, 2024",Odunpazarı - Eskişehir,ELECTRONICS,-100.00,5,shipped,cc
,BURAK CELIK,fatma@domain,+905423332211,9999-99-99,N/A,electronics,9999999.99,NULL,shipped,credit card
ORD-1040,,mehmet@yahoo,+905423332211,15/01/2024,"Çankaya, Ankara / 06540",Spor & Outdoor,"15,000.00",-5,shipped,havale
ORD-1041,UNKNOWN,invalid_email_format,5321234567,2024.01.15,Nilüfer / Bursa / 16140,Book, 899.99 TL ,0,1,credit card
#1042,Deniz Yildiz,zeynep.aksoy@outlook.com,+905423332211,2024-01-15,Kadıköy / İstanbul / 34710,fashion,"1250,50 €",100000,shipped,cc
ORD-1043,emre KOC,burak.celik@gmail.com,,N/A,  Sarıyer / İstanbul  ,Book,"$1,250.50",2.0,2,cc
1044,fatma ARSLAN,ahmet.yilmaz@gmail.com,5321234567,9999-99-99,N/A,Elektronik,$45.90,-5,1,havale
ORD-1045,CANER ERKIN,emre.koc@gmail.com,+90 532 123 45 67,2024-02-28,"Muratpaşa, Antalya",sports,-100.00,100000,2,cash_on_delivery
ORD-1046,Selin Ozturk ,fatma@domain,invalid_phone,9999-99-99,Konak - İzmir - 35000,home_decor,"1250,50 €",-5,COMPLETED,CREDIT_CARD
ORD-1047,mehmet KAYA,N/A,5321234567,,  Sarıyer / İstanbul  ,sports,75.5,ten,shipped,cc
ORD-1048,Selin Ozturk ,N/A,0533 987 65 43,28/02/2024,Kadıköy / İstanbul / 34710,FASHION,-100.00,ten,returned,cash_on_delivery
